_src,asr_dodging,asr_impersonation,attack,bitwidth,defense,diffusion_t,energy_mj,fpga_bram,fpga_dsp,fpga_lut,fps,latency_ms,n_denoise_steps,pert_l2,pert_linf,power_w,psnr,robust_tar,sigma,ssim,tar_at_far,threat,ver_acc
ablation_smoothing_only.csv,,,clean,,visagekeeper_smoothed,,,,,,,,,,,,,0.5003333333333333,0.5,,"{""0.01"": {""tar"": 0.012333333333333333, ""threshold"": 0.3305186629295349}, ""0.001"": {""tar"": 0.0016666666666666668, ""threshold"": 0.45291566848754883}}",,0.5268333333333334
ablation_smoothing_only.csv,1.0,0.01,pgd_eot,,visagekeeper_smoothed,,,,,,,,,,,,,0.495,0.5,,"{""0.01"": {""tar"": 0.012333333333333333, ""threshold"": 0.3305186629295349}, ""0.001"": {""tar"": 0.0016666666666666668, ""threshold"": 0.45291566848754883}}",,0.5268333333333334
frpure__bpda_eot.csv,1.0,1.0,bpda_eot,-1,frpure_ours_unet,nan,nan,-1,-1,-1,169.6899447491437,5.893101099645719,-1,96.56172206611166,0.03137257695198059,nan,32.18606746160021,0.0,,0.9937201657999294,"{""0.01"": {""tar"": 0.9483333333333334, ""threshold"": 0.37513864040374756}, ""0.001"": {""tar"": 0.8953333333333333, ""threshold"": 0.530886173248291}}",Linf_8/255_whitebox_adaptive,0.97
frpure__clean.csv,nan,nan,clean,-1,frpure_ours_unet,nan,nan,-1,-1,-1,nan,nan,-1,nan,nan,nan,nan,0.9471666666666667,,nan,"{""0.01"": {""tar"": 0.9483333333333334, ""threshold"": 0.37513864040374756}, ""0.001"": {""tar"": 0.8953333333333333, ""threshold"": 0.530886173248291}}",Linf_8/255_whitebox_adaptive,0.97
frpure__fgsm.csv,0.985,0.545,fgsm,-1,frpure_ours_unet,nan,nan,-1,-1,-1,77.95656995600503,12.827655200380832,-1,122.55680976447353,0.03137257695198059,nan,30.089073959084267,0.235,,0.9898767534760681,"{""0.01"": {""tar"": 0.9483333333333334, ""threshold"": 0.37513864040374756}, ""0.001"": {""tar"": 0.8953333333333333, ""threshold"": 0.530886173248291}}",Linf_8/255_whitebox_adaptive,0.97
frpure__pgd_eot.csv,1.0,1.0,pgd_eot,-1,frpure_ours_unet,nan,nan,-1,-1,-1,74.60941238536671,13.403134645195678,-1,95.41339361373919,0.03137257695198059,nan,31.84883199527476,0.0,,0.9932118798397119,"{""0.01"": {""tar"": 0.9483333333333334, ""threshold"": 0.37513864040374756}, ""0.001"": {""tar"": 0.8953333333333333, ""threshold"": 0.530886173248291}}",Linf_8/255_whitebox_adaptive,0.97
fsqueeze__bpda_eot.csv,1.0,1.0,bpda_eot,-1,fsqueeze,nan,nan,-1,-1,-1,468.91664228863846,2.1325751952826977,-1,93.34737186645827,0.03137257695198059,nan,31.17722699713225,0.0,,0.9921175424055437,"{""0.01"": {""tar"": 0.9476666666666667, ""threshold"": 0.3779708743095398}, ""0.001"": {""tar"": 0.8986666666666666, ""threshold"": 0.5309843420982361}}",Linf_8/255_whitebox_adaptive,0.9705
fsqueeze__clean.csv,nan,nan,clean,-1,fsqueeze,nan,nan,-1,-1,-1,nan,nan,-1,nan,nan,nan,nan,0.9488333333333333,,nan,"{""0.01"": {""tar"": 0.9476666666666667, ""threshold"": 0.3779708743095398}, ""0.001"": {""tar"": 0.8986666666666666, ""threshold"": 0.5309843420982361}}",Linf_8/255_whitebox_adaptive,0.9705
fsqueeze__fgsm.csv,0.97,0.395,fgsm,-1,fsqueeze,nan,nan,-1,-1,-1,216.13555021046565,4.626726140268147,-1,120.25276488396358,0.03137257695198059,nan,29.67705542029734,0.3175,,0.9889162876350505,"{""0.01"": {""tar"": 0.9476666666666667, ""threshold"": 0.3779708743095398}, ""0.001"": {""tar"": 0.8986666666666666, ""threshold"": 0.5309843420982361}}",Linf_8/255_whitebox_adaptive,0.9705
fsqueeze__pgd_eot.csv,1.0,1.0,pgd_eot,-1,fsqueeze,nan,nan,-1,-1,-1,347.2220420772404,2.8800014941953123,-1,93.40156064130882,0.03137257695198059,nan,31.171181151407417,0.0,,0.992107427927604,"{""0.01"": {""tar"": 0.9476666666666667, ""threshold"": 0.3779708743095398}, ""0.001"": {""tar"": 0.8986666666666666, ""threshold"": 0.5309843420982361}}",Linf_8/255_whitebox_adaptive,0.9705
iter_purify__bpda_eot.csv,1.0,0.78,bpda_eot,-1,iter_purify,nan,nan,-1,-1,-1,136.4460587095165,7.328903520246968,-1,111.8243827616337,0.03137257695198059,nan,21.573055551023785,0.11,,0.9486197486799506,"{""0.01"": {""tar"": 0.9253333333333333, ""threshold"": 0.3879227638244629}, ""0.001"": {""tar"": 0.849, ""threshold"": 0.5035145282745361}}",Linf_8/255_whitebox_adaptive,0.9595
